,beds,sqft
53372,0.39 acres,
53381,4 Beds,
53481,1.55 acres,
53484,-- bd,
53525,Bath,
53532,3 Beds,
53540,0.49 acres,
53546,3 bd,
53581,0.34 acres,
53621,0.25 acres,
53622,1.5 acres,
53627,3 Beds,
53636,5.43 acres,
53641,-- sqft,
53659,5,
53753,-- bd,
53842,4 Beds,
53843,4 bd,
53854,"1,703 sqft",
53882,"2,874 sqft",
53954,7 Beds,
53970,"8,250 sqft",
54001,2.95 acres,
54099,"6,098 sqft",
54104,"6,847 sqft",
54175,3 Beds,
54176,5 Beds,
54195,5 bd,
54202,1,
54220,Baths,
54263,Baths,
54281,Baths,
54325,0.5 acres,
54546,"9,051 sqft",
54578,4 Beds,
54599,Baths,
54616,"10,001 sqft",
54657,0.29 acres,
54787,2 Beds,
54832,0.25 acres,
54836,Bath,
54862,4 Beds,
54894,9 bd,
54908,8 Beds,
54928,Baths,
54962,0.27 acres,
55005,Baths,
55006,2,
55041,0.44 acres,
55073,"4,739 sqft",
55127,2 bd,
55143,1,
55164,4 Beds,
55220,6,
55242,"10,001 sqft",
55288,2 Beds,
55319,"5,963 sqft",
55442,Baths,
55444,4 bd,
55513,3 Beds,
55675,2 bd,
55746,2 bd,
55748,6 Beds,
55767,3 bd,
55789,3 bd,
55796,2.09 acres,
55858,"10,001 sqft",
55950,3 bd,
56105,4 Beds,
56149,1.88 acres,
56169,2 Beds,
56209,Baths,
56221,Baths,
56233,1.62 acres,
56234,5 bd,
56237,6 Beds,
56272,2 Beds,
56325,Baths,
56328,"3,650 sqft",
56340,4 Beds,
56357,2,
56394,0.4 acres,
56425,Baths,
56455,"10,275 sqft",
56456,3 bd,
56517,1.26 acres,
56581,Baths,
56678,3 bd,
56699, ,
56703,3,
56718,3 Beds,
56766,Baths,
56796,Baths,
56825,"6,098 sqft",
56835,3 Beds,
56917,Baths,
56926,Baths,
57007,2 Beds,
57011,2 bd,
57052,Bath,
57066,"5,052 sqft",
57087,Bath,
